week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
08/26/2014,0733543 (1466320),08/25/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/02/2014,0734221 (1477004),09/02/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/02/2014,0733725 (1477007),08/27/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/02/2014,0733947 (1477011),08/30/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/02/2014,604866675 (1477024),08/28/2014,0,Sysco Food Services,0,571.17,2114.339,495.42,177.25,305.09,24.14,55.82,6.5,0,0,4.6,3754.329,0.0
09/09/2014,0734742 (1490420),09/08/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/09/2014,090214 (1490424),09/03/2014,0,Local SuperMarket,0,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.98,0.0
09/09/2014,0734660 (1490427),09/06/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/09/2014,0734400 (1490429),09/06/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
09/09/2014,604952871 (1490478),09/04/2014,0,Sysco Food Services,0,584.61,2478.7536,498.52,234.2,172.03,44.85,31.98,6.5,0,0,9.28,4060.7236,0.0
